RM,AGE,DIS,RAD,TAX,y
6.77,2.9,5.7209,3.0,233.0,26.6
7.274,38.3,7.309,2.0,329.0,34.6
5.963,45.7,6.8147,4.0,243.0,19.7
5.605,70.2,7.9549,7.0,330.0,18.5
7.104,59.5,9.2229,3.0,216.0,33.0
6.182,42.4,3.9454,4.0,277.0,25.0
6.13,100.0,1.4191,5.0,403.0,13.8
6.249,77.3,3.615,4.0,270.0,20.6
6.096,84.5,4.4619,4.0,307.0,18.2
6.595,21.8,5.4011,3.0,252.0,30.8
5.741,66.2,7.2254,8.0,284.0,18.7
6.127,85.2,2.1224,5.0,384.0,20.4
6.849,70.3,3.1827,7.0,222.0,28.2
8.069,76.0,3.4952,2.0,276.0,38.7
5.404,100.0,1.5916,5.0,403.0,19.6
5.597,94.9,1.5257,5.0,403.0,15.4
7.148,27.7,5.1167,4.0,245.0,37.3
6.009,82.9,6.2267,5.0,311.0,18.9
6.968,91.9,1.4165,24.0,666.0,10.4
7.358,71.6,4.148,8.0,307.0,31.5
7.249,21.9,8.6966,5.0,226.0,35.4
5.877,79.2,2.4259,5.0,403.0,23.8
6.121,56.8,3.7476,3.0,247.0,22.2
6.38,95.6,1.9682,24.0,666.0,9.5
6.393,7.8,7.0355,6.0,300.0,23.7
5.968,58.5,4.8122,5.0,224.0,18.7
5.747,98.9,1.6334,24.0,666.0,8.5
6.874,28.1,6.4654,5.0,370.0,31.2
8.704,86.9,1.801,5.0,264.0,50.0
7.185,61.1,4.9671,2.0,242.0,34.7
5.599,85.7,4.4546,4.0,307.0,13.9
6.251,91.1,2.2955,24.0,666.0,19.9
6.976,91.0,2.1675,1.0,273.0,23.9
6.794,98.8,1.358,24.0,666.0,13.3
5.928,88.2,2.4631,6.0,432.0,18.3
4.926,95.7,1.4608,5.0,403.0,14.6
7.236,41.1,4.022,7.0,222.0,36.1
6.8,9.9,6.2196,1.0,265.0,31.1
6.402,95.2,2.2625,5.0,403.0,22.3
5.56,62.8,1.9865,5.0,264.0,22.8
5.834,56.5,4.4986,4.0,307.0,19.9
6.127,18.4,5.5027,4.0,289.0,23.9
6.437,75.0,2.8965,24.0,666.0,23.2
6.226,79.2,8.0555,7.0,330.0,20.5
7.147,54.2,6.0622,3.0,222.0,36.2
5.727,69.5,3.7965,4.0,307.0,18.2
5.304,97.3,2.1007,24.0,666.0,12.0
5.854,91.8,2.422,5.0,403.0,22.7
6.433,49.1,7.8265,7.0,330.0,24.5
4.906,100.0,1.1742,24.0,666.0,13.8
6.54,59.7,6.2669,1.0,422.0,16.5
5.96,92.1,3.8771,4.0,277.0,21.7
6.417,66.1,3.0923,2.0,270.0,22.6
6.152,82.6,1.7455,5.0,403.0,15.6
7.333,100.0,1.8946,5.0,264.0,36.0
7.82,36.9,3.4952,2.0,276.0,43.8
5.88,97.3,2.3887,5.0,403.0,19.1
6.174,93.6,1.6119,4.0,437.0,14.0
6.728,36.1,12.1265,5.0,187.0,30.1
6.416,84.1,2.6463,5.0,296.0,23.6
6.019,65.3,2.4091,6.0,391.0,21.2
6.229,90.7,3.0993,24.0,666.0,19.6
5.456,36.6,3.7965,4.0,307.0,20.2
5.874,36.6,4.5026,5.0,398.0,20.3
6.216,100.0,1.1691,24.0,666.0,50.0
5.807,53.8,3.6526,4.0,277.0,22.4
6.826,27.6,4.8628,4.0,254.0,33.1
6.047,88.8,4.4534,4.0,307.0,14.8
5.926,71.0,2.9084,24.0,666.0,19.1
6.23,31.5,9.0892,1.0,241.0,20.1
7.929,96.2,2.0459,5.0,403.0,50.0
7.178,26.3,6.4798,5.0,398.0,36.4
5.707,54.0,2.3817,6.0,391.0,21.8
6.193,92.6,1.7912,24.0,666.0,13.8
6.495,94.4,4.4547,4.0,307.0,18.4
5.349,96.0,1.7028,24.0,666.0,8.3
6.003,94.5,2.5403,24.0,666.0,19.1
6.389,48.0,4.7794,3.0,247.0,23.9
6.549,51.0,5.9604,4.0,289.0,27.1
5.852,77.8,1.5004,24.0,666.0,6.3
6.301,83.7,2.7831,24.0,666.0,14.9
6.108,32.0,9.2203,1.0,315.0,21.9
6.142,91.7,3.9769,4.0,307.0,15.2
5.952,84.7,2.8715,24.0,666.0,19.0
7.163,79.9,3.2157,8.0,307.0,31.6
6.229,91.2,2.5451,5.0,384.0,19.4
6.162,38.4,6.27,2.0,348.0,24.1
6.436,87.9,2.3158,24.0,666.0,14.3
7.135,13.9,7.6534,3.0,402.0,32.9
7.088,20.8,7.3073,1.0,285.0,32.2
5.985,45.4,4.8122,5.0,224.0,19.0
5.949,61.8,4.7075,4.0,307.0,20.4
6.209,31.3,7.3172,6.0,293.0,23.2
6.459,94.8,1.9879,24.0,666.0,11.8
5.427,95.4,2.4298,24.0,666.0,13.8
5.536,100.0,1.5804,24.0,666.0,11.3
5.966,93.4,6.8185,8.0,284.0,16.0
6.453,31.9,7.3073,1.0,300.0,22.0
6.98,67.6,2.5329,24.0,666.0,29.8
6.957,6.8,8.9067,7.0,330.0,29.6
6.715,81.6,2.6775,6.0,432.0,22.8
5.594,36.8,6.498,4.0,345.0,17.4
6.072,100.0,4.175,4.0,307.0,14.5
6.604,18.8,6.2196,1.0,265.0,29.1
5.99,81.7,4.2579,4.0,307.0,17.5
6.335,98.2,2.1107,4.0,437.0,18.1
6.63,56.1,4.4377,3.0,247.0,26.6
6.879,77.7,3.2721,8.0,307.0,27.5
6.137,87.4,2.7147,5.0,384.0,19.3
6.317,83.0,2.7344,24.0,666.0,19.5
6.998,45.8,6.0622,3.0,222.0,33.4
5.627,93.9,1.8172,24.0,666.0,12.8
4.138,100.0,1.1781,24.0,666.0,11.9
3.863,100.0,1.5106,24.0,666.0,23.1
6.376,88.4,2.5671,24.0,666.0,17.7
5.572,88.5,2.5961,5.0,296.0,23.1
6.065,7.8,5.2873,4.0,305.0,22.8
5.709,98.5,1.6232,5.0,403.0,19.4
5.884,18.5,10.7103,4.0,411.0,18.6
5.926,42.6,2.3817,6.0,391.0,24.5
5.036,97.0,1.77,24.0,666.0,9.7
6.153,68.8,3.2797,3.0,193.0,29.6
5.628,100.0,1.5166,5.0,403.0,15.6
5.794,70.6,2.8927,6.0,391.0,18.3
5.277,98.1,1.4261,24.0,666.0,7.2
6.167,90.0,2.421,5.0,384.0,20.1
5.783,72.7,4.3549,4.0,277.0,22.5
6.081,84.4,2.7175,24.0,666.0,20.0
5.961,92.9,2.0869,2.0,188.0,20.5
6.417,6.6,5.2873,4.0,305.0,24.2
5.878,21.4,6.498,4.0,345.0,22.0
5.604,89.8,2.9879,3.0,193.0,26.4
4.97,100.0,1.3325,24.0,666.0,50.0
6.027,79.7,2.4982,6.0,391.0,16.8
7.241,49.3,7.0379,1.0,284.0,32.7
5.914,83.2,3.9986,4.0,304.0,17.8
6.939,34.5,8.7921,1.0,335.0,26.6
7.42,71.9,3.0992,7.0,222.0,33.4
5.936,19.5,10.5857,4.0,334.0,20.6
6.176,72.5,2.7301,6.0,432.0,21.2
6.242,64.7,3.4242,24.0,666.0,23.0
